Tipo di attività,Data,Preferita,Titolo,Distanza,Calorie,Tempo,FC Media,FC max,TE aerobico,Cadenza di corsa media,Cadenza di corsa max,Passo medio,Passo migliore,Ascesa totale,Discesa totale,Lunghezza media passo,Rapporto verticale medio,Oscillazione verticale media,Tempo medio di contatto con il suolo,Bilanciamento TCS medio,Training Stress Score®,Passi,Temperatura min,Decompressione,Tempo Lap migliore,Numero di Lap,Temperatura max,Tempo in movimento,Tempo trascorso,Quota minima,Quota massima
Corsa,2025-10-31 16:36:43,false,"Latina - 3x(1kmL 1kmM 1km","9.01","585","00:41:02","171","185","4.0","177","183","4:33","3:57","13","16","1.24","7.3","9.3","251","49.8% S / 50.2% D","0.0","7,180","24.0","No","00:00:03.5","10","26.0","00:40:56","00:41:02","16","30"
Corsa,2025-10-29 18:58:35,false,"Latina - 4x1600m M","6.68","464","00:35:37","167","184","3.5","154","210","5:20","3:29","16","17","1.19","6.8","8.6","266","50.1% S / 49.9% D","0.0","5,340","21.0","No","00:00:01.8","13","25.0","00:30:07","00:35:37","21","31"
Corsa,2025-10-27 18:25:50,false,"Latina - 8 km D.A.","8.01","506","00:37:52","165","178","3.7","173","185","4:44","3:55","9","8","1.22","7.8","9.8","259","49.9% S / 50.1% D","0.0","6,464","20.0","No","00:00:02.2","17","25.0","00:37:46","00:37:52","18","26"
Corsa,2025-10-25 11:33:06,false,"Latina - 11 km L","11.01","739","00:53:09","169","182","4.5","177","184","4:50","4:22","18","17","1.17","7.6","9.1","251","50.1% S / 49.9% D","0.0","9,292","22.0","No","00:00:01.4","12","28.0","00:53:07","00:53:09","19","30"
Corsa,2025-10-24 18:19:25,false,"Latina - 4L 2M","6.01","348","00:27:27","160","181","3.3","173","180","4:34","4:05","11","11","1.27","--","--","--","--","0.0","4,730","22.0","No","00:00:01.1","7","28.0","00:27:26","00:27:27","17","24"
Corsa,2025-10-22 19:02:21,false,"Latina - 5x1km TR","5.42","356","00:30:58","151","181","3.0","134","185","5:43","3:44","6","9","1.22","--","--","--","--","0.0","4,308","23.0","No","00:00:01.7","11","26.0","00:25:22","00:30:58","23","32"
Corsa,2025-10-20 18:46:03,false,"Latina - 7 km D.A.","7.00","431","00:33:05","167","183","3.8","171","179","4:43","4:10","7","6","1.24","--","--","--","--","0.0","5,622","22.0","No","00:00:01.0","15","25.0","00:33:02","00:33:05","28","37"
Corsa,2025-10-18 10:56:11,false,"Latina - 10 km L","10.01","638","00:49:55","164","190","4.3","172","181","4:59","4:34","12","12","1.17","--","--","--","--","0.0","8,534","26.0","No","00:00:01.6","11","29.0","00:49:51","00:49:55","26","33"
Corsa,2025-10-17 17:36:14,false,"Latina - 4L 2M","6.01","368","00:27:41","171","183","3.8","175","182","4:36","4:00","6","6","1.24","--","--","--","--","0.0","4,830","23.0","No","00:00:01.5","7","28.0","00:27:40","00:27:41","19","26"
Corsa,2025-10-15 18:40:27,false,"Latina - 10x400m TR + Rec","4.58","357","00:30:47","156","186","3.4","106","216","6:43","3:18","21","24","1.28","--","--","--","--","0.0","3,604","23.0","No","00:00:00.9","21","25.0","00:22:03","00:30:47","28","34"
